Date,NG_CT_pair,LE_SB_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair_NG_CT_pair_pair,sharpe,CAGR
2016-03-05,5.399240555956318,5.156263874529783,-0.9231399998967182,0.6392871233554427,-2.4421346170822704,False,False,1.0,False,False,0.0,1.0,0.0018410595053657928,0.0018410595053657928,2.279201418547042,2.279201418547042,1.4956744926273542,0.0207
2016-03-06,5.398418522667204,5.156263874529783,-0.9219013181278942,0.6448520601229539,-2.2034736871203227,False,False,1.0,False,False,0.0,1.0,0.0005481624308564056,0.0005481624308564056,2.2797495809778985,2.2797495809778985,1.4956744926273542,0.0207
2016-03-07,5.3976069859560045,5.156263874529783,-0.920721700347311,0.6501229439595289,-1.9862001860428988,False,False,1.0,False,False,0.0,1.0,0.0005195501767359414,0.0005195501767359414,2.2802691311546344,2.2802691311546344,1.4956744926273542,0.0207
2016-03-08,5.402963372435557,5.156263874529783,-0.9196234011137128,0.6611424511007078,-1.5835463316461809,False,False,1.0,False,False,0.0,1.0,0.0010862238981212912,0.0010862238981212912,2.2813553550527557,2.2813553550527557,1.4956744926273542,0.0207
2016-03-09,5.395670334908735,5.156263874529783,-0.9185819361280044,0.6592194818562813,-1.6295092138744538,False,False,1.0,False,False,0.0,1.0,-0.00018978940428696355,-0.00018978940428696355,2.2811655656484686,2.2811655656484686,1.4956744926273542,0.0207
2016-03-10,5.3951728624721005,5.156263874529783,-0.9175990434570542,0.6637900633914073,-1.4571331863039059,False,False,1.0,False,False,0.0,1.0,0.0004513461129215943,0.0004513461129215943,2.2816169117613905,2.2816169117613905,1.4956744926273542,0.0207
2016-03-11,5.4007896287342785,5.156263874529783,-0.9166938380276816,0.6740743077080875,-1.09792153561396,False,False,1.0,False,False,0.0,1.0,0.0010154766023514428,0.0010154766023514428,2.2826323883637416,2.2826323883637416,1.4956744926273542,0.0207
2016-03-12,5.407453113136202,5.156263874529783,-0.9158824448480336,0.6849215494502703,-0.7258858118565791,False,False,1.0,False,False,0.0,1.0,0.0010708053455403296,0.0010708053455403296,2.283703193709282,2.283703193709282,1.4956744926273542,0.0207
2016-03-13,5.407556637787876,5.156263874529783,-0.9151553312695198,0.6887742635795151,-0.5927253850007798,False,False,1.0,False,False,0.0,1.0,0.0003804646600000921,0.0003804646600000921,2.284083658369282,2.284083658369282,1.4956744926273542,0.0207
2016-03-14,5.407803295535562,5.156263874529783,-0.9145043082723432,0.6923777676890301,-0.46909599287569953,False,False,1.0,False,False,0.0,1.0,0.0003559639095771363,0.0003559639095771363,2.2844396222788594,2.2844396222788594,1.4956744926273542,0.0207
2016-03-15,5.4206122450037375,5.156263874529783,-0.9139595512939586,0.7079956278852491,0.05831753330495495,False,True,0.0,False,False,0.0,0.0,0.0015412520933577362,0.0015412520933577362,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-16,5.426187067598858,5.156263874529783,-0.9135203589062764,0.7158350423229436,0.3203274943005652,False,False,0.0,False,False,0.0,0.0,0.0007733817593822587,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-17,5.429829702816091,5.156263874529783,-0.9131787091788498,0.7212393136874491,0.4983638081756155,False,False,0.0,False,False,0.0,0.0,0.0005330486718339227,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
