Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
12/8/1995,DC_CL,DC,CL,2.58226730769593,0,1.71194473524987,.0556,0,0,49.9076805815933,.119349780102513,1,1,.136959549110743,.708904958543386,.63052990499032,.0109715988190283,.171191897344533,-1.17379672398861,-.304847527626525,1.27890482898519,-.00311124326278318,-.921674024719744
12/9/1995,DC_CL,DC,CL,2.79390880031912,0,1.71194473524987,.0556,0,0,52.9673159665003,.119316572129458,1,1,.136995988446709,.708904958543386,.618133475321069,-.099052800317409,.158801742733693,-1.17175425444665,-.391437690574822,1.26489809906215,.0193960952852389,-.937856199514242
12/10/1995,DC_CL,DC,CL,2.76166192252568,0,1.71194473524987,.0556,0,0,52.4892504097906,.119278812033128,1,1,.137032427782675,.708904958543386,.617662460727697,-.0820094151325897,.162315949590217,-1.17078888378521,-.379541805560415,1.26025505828788,.0141745115761446,-.935721516001795
12/11/1995,DC_CL,DC,CL,2.72811399066604,0,1.71194473524987,.0556,0,0,52.2027396888304,.119239529776057,1,1,.137068867118641,.708904958543386,.618134350621626,-.0714471688450557,.162844374250929,-1.17079620953721,-.37336144767386,1.26003141394113,.0105223274527075,-.935163492527901
12/12/1995,DC_CL,DC,CL,2.3947612074498,0,1.71194473524987,.0556,0,0,47.4564960198199,.119212186120115,1,1,.137105306454607,.708904958543386,.636588930595742,.105761084090499,.145735539076448,-1.18045170087325,-.269337066176057,1.27765198680399,-.0484467207147275,-.929561659168125
12/13/1995,DC_CL,DC,CL,2.44608107412563,0,1.71194473524987,.0556,0,0,48.3249192502837,.119190314120616,1,1,.137141745790573,.708904958543386,.632651827063208,.0706318267663924,.165744078447893,-1.17521699454141,-.27692967271376,1.27494427727292,-.0284741223576989,-.922713293530151
12/14/1995,DC_CL,DC,CL,2.69222231941975,0,1.71194473524987,.0556,0,0,52.1069785957907,.119162379244022,1,1,.137178185126539,.708904958543386,.622418547291843,-.0650522298636887,.15042210978806,-1.17475097810118,-.381141247986666,1.27484414830028,.00297834731569514,-.941695930814866
12/15/1995,DC_CL,DC,CL,2.77250755405086,0,1.71194473524987,.0556,0,0,53.4455315213257,.119127588854828,1,1,.137214624462505,.708904958543386,.658984858650976,-.106259594586696,.133419406113022,-1.19334335210599,-.417650682012925,1.41948095739459,.0273753323340587,-.952354090530696
12/16/1995,DC_CL,DC,CL,3.12749873548041,0,1.71194473524987,.0556,0,0,58.94536692795,.119074894043605,1,1,.137251063798471,.708904958543386,.638900310663148,-.300563253696449,.0877766472203152,-1.19491245231925,-.586252931409613,1.3969532183476,.057495808807719,-.991056981136302
12/17/1995,DC_CL,DC,CL,3.0747096920303,0,1.71194473524987,.0556,0,0,58.1732110585037,.119013093524979,1,1,.137287503134437,.708904958543386,.599878267139722,-.282970953914984,.12675699554092,-1.17135751656532,-.552346852390559,1.25512016331738,.0487719898355939,-.97353448116259
12/18/1995,DC_CL,DC,CL,3.01892050480769,0,1.71194473524987,.0556,0,0,57.3448289737396,.118947784374768,1,1,.137323942470403,.708904958543386,.601592255129889,-.252812874978315,.130973604696329,-1.17114798839852,-.532607230126377,1.25603801019908,.0398408807467444,-.970670366104726
12/19/1995,DC_CL,DC,CL,3.11803295790644,0,1.71194473524987,.0556,0,0,58.8461902276285,.118876511162687,1,1,.137360381806369,.708904958543386,.617537504756155,-.301186236072991,.108478197325906,-1.1823757660875,-.58348902235452,1.32825490401601,.0514414540252362,-.986272668610858
12/20/1995,DC_CL,DC,CL,2.52345661447312,0,1.71194473524987,.0556,0,0,49.6514214890003,.118824334215784,1,1,.137396821142335,.708904958543386,.631837427914154,.037253507053247,.0940544146491338,-1.18893317395827,-.377771072255579,1.29000890576312,-.0655521364828025,-.969432093650155
12/21/1995,DC_CL,DC,CL,2.34489720170758,0,1.71194473524987,.0556,0,0,46.9045471993767,.118790906468737,1,1,.137433260478301,.708904958543386,.642265629520497,.130433111324559,.143594489997441,-1.18327748561783,-.276653656105083,1.30781781615639,-.066363310864013,-.938273946558349
12/22/1995,DC_CL,DC,CL,2.31722784548042,0,1.71194473524987,.0556,0,0,46.4592531823117,.118770225627478,1,1,.137469699814267,.708904958543386,.647251553501975,.146987743373774,.14602516407982,-1.18474094940983,-.264317200524719,1.32260662990954,-.0685801825619766,-.93614694436662
12/23/1995,DC_CL,DC,CL,2.48099246214346,0,1.71194473524987,.0556,0,0,48.9558363968272,.118751223491386,1,1,.137506139150233,.708904958543386,.634108460150354,.0550240171224993,.145939855146592,-1.17988004327919,-.327368595873923,1.30063684312885,-.0452167023294858,-.944131108115571
12/24/1995,DC_CL,DC,CL,2.46614004215635,0,1.71194473524987,.0556,0,0,48.7014577586276,.118733840275179,1,1,.1375425784862,.708904958543386,.634186127967933,.0647066363994442,.144291244292742,-1.18012258188128,-.323500225104113,1.29897123097081,-.0498774896975918,-.944687344481539
12/25/1995,DC_CL,DC,CL,2.45259542026445,0,1.71194473524987,.0556,0,0,48.4691845673238,.118717987933201,1,1,.137579017822166,.708904958543386,.633911986046464,.0732304669803123,.144488184000235,-1.17987428913307,-.318826799642432,1.29641524810621,-.0533194835629718,-.944389991301362
12/26/1995,DC_CL,DC,CL,2.44027133089553,0,1.71194473524987,.0556,0,0,48.2887524491865,.118703564269473,1,1,.137615457158132,.708904958543386,.633594935658478,.0798350702028077,.144671023248822,-1.17961549302811,-.315197206425374,1.29407135693035,-.0560257310921665,-.944149277245483
12/27/1995,DC_CL,DC,CL,2.55496597074395,0,1.71194473524987,.0556,0,0,50.0703275645333,.118685651690769,1,1,.137651896494098,.708904958543386,.627719693498601,.015074995027529,.141864321609938,-1.17808785887873,-.361341695586531,1.29076707916364,-.0391628915050728,-.950999696234057
12/28/1995,DC_CL,DC,CL,2.761080078315,0,1.71194473524987,.0556,0,0,53.2137396256422,.118657697479214,1,1,.137688335830064,.708904958543386,.623542439275833,-.0969414461480763,.127374514507578,-1.17979277771957,-.447934791929692,1.30596738475058,-.0116637102063393,-.967280004188545
12/29/1995,DC_CL,DC,CL,2.59720315891931,0,1.71194473524987,.0556,0,0,50.6930468803833,.118629754457701,1,1,.13772477516603,.708904958543386,.631920052192594,-.00529316812602984,.134327521864978,-1.18134827349818,-.383242522030925,1.3134283663259,-.0354964489598784,-.957443230604588
12/30/1995,DC_CL,DC,CL,2.75808875484183,0,1.71194473524987,.0556,0,0,53.1442281744384,.118595682969651,1,1,.137761214501996,.708904958543386,.62346145245801,-.0941459642631909,.129115244839861,-1.17939540637009,-.448202906903886,1.3076376503225,-.0135368100072104,-.967731201474014
12/31/1995,DC_CL,DC,CL,2.72674153575823,0,1.71194473524987,.0556,0,0,52.6439921869302,.118558999647011,1,1,.137797653837962,.708904958543386,.624782018525837,-.0752594365511135,.127670142182755,-1.18009987004189,-.439035018960729,1.30873708171785,-.0210715692572822,-.967896148922065
1/1/1996,DC_CL,DC,CL,2.64427831277268,0,1.71194473524987,.0556,0,0,51.3706284125197,.118523796879137,1,1,.151102116375635,.708904958543386,.616611622651853,-.0301214207654847,.138591667062521,-1.14387947458149,-.406432108468323,1.29823345289648,-.0344568615471753,-.962444155264678
1/2/1996,DC_CL,DC,CL,2.61583779659409,0,1.71194473524987,.0556,0,0,50.9019919887384,.118490620226777,1,1,.151138555711601,.708904958543386,.616474733160568,-.0131254953897554,.140560563643886,-1.1433428715297,-.395814089872309,1.29472339323639,-.0403065763116127,-.961077860285952
1/3/1996,DC_CL,DC,CL,2.84110509295323,0,1.71194473524987,.0556,0,0,54.2665455987203,.118450104879657,1,1,.151174995047567,.708904958543386,.614576998159449,-.131622225580378,.118767664149618,-1.14743481756739,-.492814237073666,1.31984167545539,-.0134714539040852,-.981599956140756
1/4/1996,DC_CL,DC,CL,2.88115088383302,0,1.71194473524987,.0556,0,0,54.7668767152926,.118403500489995,1,1,.151211434383533,.708904958543386,.716225488727749,-.128975321808045,.0684866315944063,-1.19901569592723,-.519660297138111,1.68880095609023,.0134523571124711,-1.00350865896085
1/5/1996,DC_CL,DC,CL,2.8586931273084,0,1.71194473524987,.0556,0,0,54.3223670513469,.118353977949565,1,1,.151247873719499,.708904958543386,.668941594847401,-.122287057112102,.0949891414919367,-1.17445127574452,-.504077581344172,1.51857787697786,-.00249888340652285,-.993180287698611
1/6/1996,DC_CL,DC,CL,3.15498090706618,0,1.71194473524987,.0556,0,0,58.6619970871207,.118291331351846,1,1,.151284313055465,.708904958543386,.707991540920197,-.264482491795469,.0313691628828537,-1.20354401097177,-.644503585961599,1.69655695437905,.0328989121648831,-1.03452219470097
1/7/1996,DC_CL,DC,CL,3.09620411956315,0,1.71194473524987,.0556,0,0,57.6429348088106,.118222781724849,1,1,.151320752391431,.708904958543386,.659474066025126,-.240477048450508,.0808184066276783,-1.17410732920101,-.60111042719981,1.52034942435769,.0213398676726421,-1.01250993301429
1/8/1996,DC_CL,DC,CL,3.03625440200155,0,1.71194473524987,.0556,0,0,56.6186440062842,.118152868415108,1,1,.151357191727397,.708904958543386,.659181811290558,-.203590316581558,.0869354314334182,-1.1727027629112,-.576805497917085,1.51298147863128,.00947064200525891,-1.00874142496018
1/9/1996,DC_CL,DC,CL,2.97751335693555,0,1.71194473524987,.0556,0,0,55.6234068756336,.118084368841567,1,1,.151393631063363,.708904958543386,.658638826704539,-.16771243467791,.0924349698170756,-1.17131164961658,-.553547547571388,1.50481695588673,-.00243728623333266,-1.0052968767141
1/10/1996,DC_CL,DC,CL,2.62120130625241,0,1.71194473524987,.0556,0,0,50.1846270378091,.118030365984726,1,1,.151430070399329,.708904958543386,.672773274355965,.0323730964850506,.0899737068329554,-1.1764148173088,-.427308482620199,1.50433629957638,-.0659451494860277,-.992653300026319
1/11/1996,DC_CL,DC,CL,2.31272756247345,0,1.71194473524987,.0556,0,0,45.4875652501344,.117997165029116,1,1,.151466509735295,.708904958543386,.691642052129296,.205641476930887,.0889098400951057,-1.18332230459819,-.315095788479966,1.52755159488147,-.116231210039888,-.980482279675802
1/12/1996,DC_CL,DC,CL,1.44378608270257,0,1.71194473524987,.0556,0,0,32.4037986671214,.11801005936967,1,0,.151502949071261,.708904958543386,.732253646947975,.808634028986951,-.395150851896462,-1.21863500235275,2.48719361343852,1.51259578926599,-1.23543484918946,-1.38264855720266
1/13/1996,DC_CL,DC,CL,.955410209335362,0,1.71194473524987,.0556,0,1,25.3543901267379,.118070255537526,1,1,.151539388407228,.708904958543386,.787107350929126,1.82026910001018,-.471154346123458,-1.31838351263815,-.29869784283562,1.50413112473276,-.479261838585636,-1.10143148738804
1/14/1996,DC_CL,DC,CL,1.02982571825684,.00209797415514189,1.71404270940501,.0556,0,1,26.7255663066298,.118157033160281,1,1,.151575827743194,.708904958543386,.786268276763753,1.72618789367826,-.307062334818362,-1.27617403509994,-.043700798904652,1.46600478916686,-.260708830249787,-1.17502957244812
