Date,NG,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_NG_pair,sharpe,CAGR
2008-01-28,7.983,20.6,-0.2379499661422658,3.0812306974693238,-0.2309175623169645,False,False,0.0,False,False,0.0,0.0,-0.00017192293072978662,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-29,8.095,20.6,-0.2383619475817352,3.1847438798162546,0.043324885630396895,False,True,0.0,False,False,0.0,0.0,0.007959334394520817,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-30,7.996,20.6,-0.23868340841419705,3.0791217866675407,-0.24078372575477866,False,False,0.0,False,True,0.0,0.0,-0.008179593379860104,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-01-31,8.045,20.6,-0.23905446793570131,3.1204779605245525,-0.12609194664672554,False,False,0.0,False,False,0.0,0.0,0.0031887199644779277,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-01,8.074,19.32,-0.2401364210523101,3.4345643452693686,0.7117562872576357,False,True,0.0,False,False,0.0,0.0,0.02470507526641278,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-02,7.74,19.32,-0.24079985518157393,3.0877467978919917,-0.21224699223866286,False,False,0.0,False,True,0.0,0.0,-0.027986641470364795,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-03,7.74,19.32,-0.24123984659367245,3.0792461638102484,-0.22295746661829824,False,False,0.0,False,False,0.0,0.0,-0.0006854933332307147,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-04,7.74,19.32,-0.24155542187590198,3.0731492493575736,-0.22868871312102745,False,False,0.0,False,False,0.0,0.0,-0.0004914151524196499,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-05,7.869,19.32,-0.24207032837143555,3.192201255863865,0.10500630349443763,False,True,0.0,False,False,0.0,0.0,0.009489392340359035,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-06,7.942,19.32,-0.2428164229041226,3.2507867094923517,0.27207263091909967,False,False,0.0,False,False,0.0,0.0,0.004637415064661865,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-07,7.994,19.32,-0.24375622933741992,3.2846296492010465,0.37508009102216827,False,False,0.0,False,False,0.0,0.0,0.0026640914004814717,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-08,8.102,19.32,-0.24498346257659614,3.3689195030201624,0.6318303928015219,False,False,0.0,False,False,0.0,0.0,0.006567146488792942,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-09,8.301,19.32,-0.24672789773932288,3.5342170156762824,1.1077896623547783,False,False,0.0,False,False,0.0,0.0,0.0126492391903365,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-10,8.301,19.32,-0.2486555921059758,3.4969739605125474,1.017703395016466,False,False,0.0,False,False,0.0,0.0,-0.002841890970038214,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-11,8.301,19.32,-0.2505947872397388,3.4595087105282456,0.9078015595369853,False,False,0.0,False,False,0.0,0.0,-0.0028506962005228503,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-12,8.531,19.32,-0.2529568161636938,3.643874311717436,1.4179486173944384,False,False,0.0,False,False,0.0,0.0,0.013740041304739646,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-13,8.436,19.32,-0.25522412643553816,3.5050698772654023,1.0165694451318081,False,False,0.0,False,False,0.0,0.0,-0.010384166983558474,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-14,8.388,19.32,-0.2572468926506675,3.4179900339891036,0.7608981142391658,False,False,0.0,False,False,0.0,0.0,-0.006518923364922698,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-15,8.772,19.32,-0.25990039740576115,3.7507243221206945,1.6660974469313012,False,False,0.0,False,False,0.0,0.0,0.02412293467498855,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-16,8.66,19.32,-0.26251037195262283,3.5882996138753267,1.1974178645161544,False,False,0.0,False,False,0.0,0.0,-0.01182844831143355,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-17,8.66,19.32,-0.2649898617359039,3.540395871262337,1.0495897653138828,False,False,0.0,False,False,0.0,0.0,-0.0034764237176513136,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-18,8.66,19.32,-0.2673010961166252,3.4957428230268004,0.9153468013764618,False,False,0.0,False,False,0.0,0.0,-0.0032300504586904285,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-19,8.66,19.32,-0.2694322010932478,3.4545698748784526,0.7928503965008592,False,False,0.0,False,False,0.0,0.0,-0.002969467789805539,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-20,8.977,19.32,-0.2720799598955282,3.7204151748183953,1.4968564448035786,False,False,0.0,False,False,0.0,0.0,0.01867732571977354,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-21,8.965,19.32,-0.2748448828590273,3.654996863163592,1.313040721387541,False,False,0.0,False,False,0.0,0.0,-0.004582717847955678,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-22,8.891,19.32,-0.2773881231101489,3.531861461511924,0.9748764149358171,False,False,0.0,False,False,0.0,0.0,-0.00864099680989715,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-23,9.146,19.32,-0.28027537654848084,3.731079725083351,1.5006512665285472,False,False,0.0,False,False,0.0,0.0,0.013681708285609537,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-24,9.146,19.32,-0.2832102250958443,3.6743784511482884,1.3332262679586449,False,False,0.0,False,False,0.0,0.0,-0.003878967159299366,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-25,9.146,19.32,-0.2860439536414508,3.619630815647171,1.1683851216817884,False,False,0.0,False,False,0.0,0.0,-0.003731342553696259,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-26,9.186,19.32,-0.28879543584683925,3.6064721794390655,1.1161670242441168,False,False,0.0,False,False,0.0,0.0,-0.0008911727618556371,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-27,9.206,19.32,-0.2914332534411162,3.5755095435176347,1.018745008256116,False,False,0.0,False,False,0.0,0.0,-0.0020869245332815604,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-28,8.93,19.32,-0.29329254418373196,3.263588046370298,0.1850893265879746,False,False,0.0,False,False,0.0,0.0,-0.021369737860116422,-0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-02-29,9.443,19.32,-0.2958216283017604,3.7277261412099882,1.3943393279751934,False,False,0.0,False,False,0.0,0.0,0.030619455695514084,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-03-01,9.366,17.03,-0.29967372435384426,4.262556474254032,2.707178603242732,False,False,0.0,True,False,-1.0,-1.0,0.03696274373595652,0.0,8.42925674828583,8.42925674828583,1.5560964551752645,0.0642
2008-03-02,9.366,17.03,-0.30400768200861383,4.188749175393306,2.437038532051389,False,False,0.0,False,False,-1.0,-1.0,-0.0050750206917869025,0.0050750206917869025,8.434331768977616,8.434331768977616,1.5560964551752645,0.0642
2008-03-03,9.366,17.03,-0.30843927465057436,4.113279152700718,2.186385723307037,False,False,0.0,False,False,-1.0,-1.0,-0.005162559944944166,0.005162559944944166,8.43949432892256,8.43949432892256,1.5560964551752645,0.0642
