Date,CT,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_CT_pair,sharpe,CAGR
2008-03-08,81.28,17.03,-2.3082282742485054,41.97087248954795,1.6607461970161133,False,False,0.0,False,False,-1.0,-1.0,-0.038661391122431533,0.038661391122431533,5.039230167035958,5.039230167035958,1.858755449607573,0.0497
2008-03-09,81.28,17.03,-2.3382912058422862,41.45890076450586,1.465286544499516,False,False,0.0,False,False,-1.0,-1.0,-0.004227638958474716,0.004227638958474716,5.043457805994433,5.043457805994433,1.858755449607573,0.0497
2008-03-10,81.28,17.03,-2.3627152843001498,41.042958708368445,1.309407861739249,False,False,0.0,False,False,-1.0,-1.0,-0.003422911319402426,0.003422911319402426,5.046880717313836,5.046880717313836,1.858755449607573,0.0497
2008-03-11,77.28,17.03,-2.3748555376752205,36.83621019339099,-0.20602560070739526,False,False,0.0,False,True,0.0,0.0,-0.03573405614861788,0.03573405614861788,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-12,81.28,17.03,-2.3886607729723814,40.60110703628034,1.1484653056162208,False,True,0.0,False,False,0.0,0.0,0.030870211686894626,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-13,82.06,17.03,-2.4045316729713386,41.110825609298104,1.3251192548716115,False,False,0.0,False,False,0.0,0.0,0.004143744363317125,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-14,80.81,17.03,-2.418223516573974,39.62765351274522,0.7898567040430415,False,False,0.0,False,False,0.0,0.0,-0.012157911043278765,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-15,79.3,17.03,-2.4269925669500445,37.968316584840736,0.19441968396701909,False,False,0.0,False,False,0.0,0.0,-0.013755398921142485,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-16,79.3,17.03,-2.432846142297546,37.86863019667279,0.15690579403238222,False,False,0.0,False,False,0.0,0.0,-0.0008256875435964674,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-17,79.3,17.03,-2.4369464314045173,37.79880227318107,0.12987882408279317,False,False,0.0,False,False,0.0,0.0,-0.0005780399930274854,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-18,77.9,17.03,-2.4368842210573884,36.399861715392674,-0.372882967951551,False,False,0.0,False,True,0.0,0.0,-0.011716406512476707,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-19,77.23,17.03,-2.433141095059042,35.79360715114451,-0.5900530002173567,False,False,0.0,False,False,0.0,0.0,-0.005108898565917841,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-20,74.23,17.03,-2.420929227258888,33.00157525978114,-1.5837266442484328,False,False,0.0,False,False,0.0,0.0,-0.024182140867116765,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-21,73.83,17.03,-2.4038008547095475,32.8932714442964,-1.609764071108551,False,False,0.0,False,False,0.0,0.0,-0.0009436865269900233,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-22,73.83,17.03,-2.3847126569956307,33.218343451364404,-1.4838446788634765,False,False,0.0,False,False,0.0,0.0,0.0028405042086213786,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
