Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
2014-07-01,3143.0,105.37,-24.305623763250637,581.9164240662803,0.8093176633850082,False,False,0.0,False,False,0.0,0.0,0.0012495470498111675,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-02,3135.0,105.34,-24.342007814840606,570.8128967846906,0.49371389665066195,False,False,0.0,False,False,0.0,0.0,-0.0019482650912312567,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-03,3136.0,104.48,-24.392794613464797,587.4408187851977,0.893597997762815,False,False,0.0,False,False,0.0,0.0,0.002925103155835867,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-04,3124.0,104.06,-24.438751345632685,580.9035349734627,0.6913571263064937,False,False,0.0,False,False,0.0,0.0,-0.0011535508266144255,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-05,3124.0,103.76,-24.48655276943201,583.2752846437347,0.7220935827598516,False,False,0.0,False,False,0.0,0.0,0.00041868754254598833,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-06,3124.0,103.76,-24.53040448767405,578.7252303589403,0.5746076539119538,False,False,0.0,False,False,0.0,0.0,-0.0008025813652850205,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-07,3124.0,103.76,-24.570230287464458,574.5929053726877,0.4403215426385062,False,False,0.0,False,False,0.0,0.0,-0.0007283674372963401,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-08,3117.0,103.53,-24.605234572564832,569.6200647023629,0.3045107776608891,False,False,0.0,False,False,0.0,0.0,-0.0008779143925951157,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-09,3134.0,103.4,-24.653815956100484,584.7954301392097,0.6807936737840172,False,False,0.0,False,False,0.0,0.0,0.0026702127734983946,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-10,3113.0,102.29,-24.70453949984759,585.97265456059,0.6956683972107285,False,False,0.0,False,False,0.0,0.0,0.00020872672227949477,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-11,3118.0,102.93,-24.742067359489536,571.2990066877419,0.30523811393811184,False,False,0.0,False,False,0.0,0.0,-0.0025903658269292146,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-12,3127.0,100.83,-24.826739465146424,623.7198597292859,1.6080705748363648,False,False,0.0,False,False,0.0,0.0,0.009310523053125292,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-13,3127.0,100.83,-24.90778192591688,615.5483484098013,1.342078686061932,False,False,0.0,False,False,0.0,0.0,-0.001449247386413252,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-14,3127.0,100.83,-24.981854247655672,608.0796362088786,1.1136600677304065,False,False,0.0,False,False,0.0,0.0,-0.0013228511420071856,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-15,3120.0,100.91,-25.041639006387136,593.0482078654741,0.7245523983798265,False,False,0.0,False,False,0.0,0.0,-0.0026618658874229015,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-16,3143.0,99.96,-25.135117681132645,630.4936365939811,1.5929080409700722,False,False,0.0,False,False,0.0,0.0,0.00662105677588799,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-17,3062.0,101.2,-25.127865525562175,519.0600088131077,-1.0505251747393083,False,False,0.0,False,True,0.0,0.0,-0.0198813239670879,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-18,3064.0,103.19,-25.073042320786683,476.71276291802224,-1.9481708684604777,False,False,0.0,False,False,0.0,0.0,-0.007493380555356687,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-19,3082.0,103.13,-25.03621099724275,500.01555985435516,-1.3443314773766126,False,False,0.0,False,False,0.0,0.0,0.004114205676690332,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-20,3082.0,103.13,-25.003925723375826,503.3451401482512,-1.2140790803704566,False,False,0.0,False,False,0.0,0.0,0.0005881970154215011,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
