Date,FC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_FC_pair,sharpe,CAGR
1995-08-21,66.3,61.32,-1.0486053471484236,1.9995201128586615,-0.8180183210318682,False,False,0.0,False,False,0.0,0.0,-0.0006500526356475189,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-22,66.1,60.97,-1.0500752990116986,2.076909019256732,-0.19008114070263166,False,False,0.0,False,False,0.0,0.0,0.0005947361518604187,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-23,65.9,61.02,-1.0511310399596714,1.759983941660849,-1.7556995575482852,False,False,0.0,False,False,0.0,0.0,-0.0024371350235277,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-24,65.8,61.62,-1.0511211037604806,1.0299175862791827,-1.9265260363650893,False,False,0.0,False,False,0.0,0.0,-0.005591375465846747,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-25,65.2,61.95,-1.0497493094767198,0.16803027791721092,-1.7497218731688633,False,False,0.0,False,False,0.0,0.0,-0.00661809316254107,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-26,64.75,61.2,-1.0486928185662685,0.5699995037443699,-0.8737484621162563,False,False,0.0,False,False,0.0,0.0,0.003117732291010369,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-27,64.75,61.2,-1.04776686039143,0.6266681440444728,-0.5558607879358624,False,False,0.0,False,False,0.0,0.0,0.0004397235602121517,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-28,64.75,61.2,-1.0469323852470436,0.6777380228809307,-0.23530211969861722,False,False,0.0,False,False,0.0,0.0,0.00039643674977178015,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-29,64.9,61.6,-1.0458366384113733,0.47646307385940645,-0.4097420049840554,False,False,0.0,False,False,0.0,0.0,-0.001556367493540457,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-08-30,64.7,61.72,-1.044372456766076,0.2413319683978017,-1.0411738951899538,False,False,0.0,False,False,0.0,0.0,-0.001820482581967116,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
