Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1993-02-16,368.6,10.89,-29.899761130093285,42.991601293284134,1.0531875573645764,False,False,0.0,False,False,0.0,0.0,-0.0010824093099863958,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-17,371.0,10.89,-29.969353554279856,44.633739793892346,1.2335608134207867,False,False,0.0,False,False,0.0,0.0,0.0023547719388128632,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-18,366.5,10.89,-30.02618371153953,39.514859381334475,0.6573545113014436,False,False,0.0,False,False,0.0,0.0,-0.007381384420135178,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-19,363.5,10.89,-30.065778908829056,36.08366768285157,0.2699481578060867,False,False,0.0,False,False,0.0,0.0,-0.0049661464608538155,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-20,357.4,10.89,-30.077973706909184,29.850866331758937,-0.43189839807422586,False,False,0.0,False,True,0.0,0.0,-0.00909965579153725,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-21,357.4,10.89,-30.072268799253933,29.91299277612461,-0.4264488155885868,False,False,0.0,False,False,0.0,0.0,9.071050218560551e-05,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-22,357.4,10.89,-30.055244267314965,30.09838992893998,-0.40576786745020343,False,False,0.0,False,False,0.0,0.0,0.00027077072711444085,0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-23,338.2,10.89,-29.983270421858023,11.682185105966084,-2.463934599728385,True,False,1.0,False,False,0.0,1.0,-0.02770529751171137,-0.0,1.035764700019786,1.035764700019786,1.0425251197289018,0.0436
1993-02-24,346.8,10.89,-29.899622913328603,21.193106473851515,-1.3944401621289437,False,False,1.0,False,False,0.0,1.0,0.01414459229888245,0.01414459229888245,1.0499092923186684,1.0499092923186684,1.0425251197289018,0.0436
1993-02-25,343.2,10.89,-29.80174891122904,18.658954356715697,-1.6719691884237515,False,False,1.0,False,False,0.0,1.0,-0.003795112092734216,-0.003795112092734216,1.0461141802259342,1.0461141802259342,1.0425251197289018,0.0436
