Date,QS,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_QS_pair,sharpe,CAGR
2011-01-23,822.5,13.83,-38.98229539191495,283.3748547298162,0.9834149309048063,False,False,0.0,False,False,-1.0,-1.0,-0.0015883713777766334,0.0015883713777766334,5.567257129096676,5.567257129096676,1.8271343616170785,0.0501
2011-01-24,822.5,13.83,-39.12642775945007,281.38150408680553,0.908201023987762,False,False,0.0,False,False,-1.0,-1.0,-0.001461809625628285,0.001461809625628285,5.568718938722305,5.568718938722305,1.8271343616170785,0.0501
2011-01-25,828.75,13.83,-39.27339152382751,285.5989952254655,1.0481589927505766,False,False,0.0,False,False,-1.0,-1.0,0.0030741949484562776,-0.0030741949484562776,5.5656447437738485,5.5656447437738485,1.8271343616170785,0.0501
2011-01-26,810.5,13.83,-39.37431963017756,265.9531595146443,0.36188112985117,False,False,0.0,False,False,-1.0,-1.0,-0.014498270557041682,0.014498270557041682,5.58014301433089,5.58014301433089,1.8271343616170785,0.0501
2011-01-27,822.5,13.83,-39.473277513578076,276.5845719872152,0.7286561059047983,False,False,0.0,False,False,-1.0,-1.0,0.00776914104805867,-0.00776914104805867,5.572373873282832,5.572373873282832,1.8271343616170785,0.0501
2011-01-28,829.5,13.83,-39.58439988623664,282.04774957334723,0.9136479704845861,False,False,0.0,False,False,-1.0,-1.0,0.003967586809520255,-0.003967586809520255,5.568406286473311,5.568406286473311,1.8271343616170785,0.0501
2011-01-29,836.25,13.83,-39.71500702484586,286.9914528463818,1.0891420112142147,False,False,0.0,False,False,-1.0,-1.0,0.003568150686035725,-0.003568150686035725,5.564838135787276,5.564838135787276,1.8271343616170785,0.0501
2011-01-30,836.25,13.83,-39.85275572732074,285.0863882911542,1.0326858192841044,False,False,0.0,False,False,-1.0,-1.0,-0.0013731049912946605,0.0013731049912946605,5.56621124077857,5.56621124077857,1.8271343616170785,0.0501
2011-01-31,836.25,13.83,-39.99016640707603,283.1859985901385,0.9747385873253304,False,False,0.0,False,False,-1.0,-1.0,-0.0013678619081699225,0.0013678619081699225,5.56757910268674,5.56757910268674,1.8271343616170785,0.0501
2011-02-01,846.75,13.48,-40.17768894744423,305.1547529884517,1.7492511113683193,False,False,0.0,False,False,-1.0,-1.0,0.01582369691227852,-0.01582369691227852,5.551755405774462,5.551755405774462,1.8271343616170785,0.0501
2011-02-02,856.75,13.48,-40.411272072105206,312.00605246802184,1.9862992962618564,False,False,0.0,False,False,-1.0,-1.0,0.0048885687245636775,-0.0048885687245636775,5.546866837049898,5.546866837049898,1.8271343616170785,0.0501
2011-02-03,869.0,13.48,-40.692699869783866,320.4624057553135,2.281159584910902,False,False,0.0,True,False,-1.0,-1.0,0.00596552311672377,-0.00596552311672377,5.540901313933174,5.540901313933174,1.8271343616170785,0.0501
2011-02-04,873.5,13.48,-41.00387639388976,320.767746210366,2.289319425670653,False,False,0.0,False,False,-1.0,-1.0,0.0002140888724407746,-0.0002140888724407746,5.540687225060734,5.540687225060734,1.8271343616170785,0.0501
2011-02-05,856.25,13.48,-41.283128661160454,299.75342564755704,1.553900257377639,False,False,0.0,False,False,-1.0,-1.0,-0.014874798455937676,0.014874798455937676,5.555562023516671,5.555562023516671,1.8271343616170785,0.0501
2011-02-06,856.25,13.48,-41.53496476274078,296.3586749982543,1.4330616142833132,False,False,0.0,False,False,-1.0,-1.0,-0.0023971835221308618,0.0023971835221308618,5.557959207038802,5.557959207038802,1.8271343616170785,0.0501
2011-02-07,856.25,13.48,-41.76280944950791,293.2873286206333,1.3237169163169482,False,False,0.0,False,False,-1.0,-1.0,-0.002164119895178146,0.002164119895178146,5.56012332693398,5.56012332693398,1.8271343616170785,0.0501
2011-02-08,858.25,13.48,-41.97403534996286,292.44000348250063,1.2917127532122654,False,False,0.0,False,False,-1.0,-1.0,-0.0005950066290779584,0.0005950066290779584,5.560718333563059,5.560718333563059,1.8271343616170785,0.0501
2011-02-09,860.25,13.48,-42.173496777105235,291.7512634446214,1.2646951702090838,False,False,0.0,False,False,-1.0,-1.0,-0.00048205819557871614,0.00048205819557871614,5.5612003917586375,5.5612003917586375,1.8271343616170785,0.0501
2011-02-10,863.75,13.48,-42.367937412853266,292.6302036747379,1.2927046903869774,False,False,0.0,False,False,-1.0,-1.0,0.0006125574824750853,-0.0006125574824750853,5.560587834276163,5.560587834276163,1.8271343616170785,0.0501
2011-02-11,868.0,13.48,-42.56327254934493,294.2470860348303,1.3425156395252784,False,False,0.0,False,False,-1.0,-1.0,0.0011214698055616106,-0.0011214698055616106,5.559466364470601,5.559466364470601,1.8271343616170785,0.0501
2011-02-12,857.5,13.48,-42.72818880040581,281.5240149705296,0.8996968071935856,False,False,0.0,False,False,-1.0,-1.0,-0.00887567786079035,0.00887567786079035,5.568342042331391,5.568342042331391,1.8271343616170785,0.0501
2011-02-13,857.5,13.48,-42.86983770421291,279.61458774720995,0.8336072139043408,False,False,0.0,False,False,-1.0,-1.0,-0.0013302540258667325,0.0013302540258667325,5.569672296357258,5.569672296357258,1.8271343616170785,0.0501
2011-02-14,857.5,13.48,-42.99318272981355,277.9518968021133,0.7741962025464149,False,False,0.0,False,False,-1.0,-1.0,-0.0011570182942356828,0.0011570182942356828,5.570829314651493,5.570829314651493,1.8271343616170785,0.0501
2011-02-15,877.25,13.48,-43.1486580249021,295.6060898243197,1.381761068790612,False,False,0.0,False,False,-1.0,-1.0,0.01210108075650305,-0.01210108075650305,5.55872823389499,5.55872823389499,1.8271343616170785,0.0501
2011-02-16,872.5,13.48,-43.30688771552743,288.7231535946902,1.1378001569368272,False,False,0.0,False,False,-1.0,-1.0,-0.004726392681871894,0.004726392681871894,5.563454626576862,5.563454626576862,1.8271343616170785,0.0501
2011-02-17,873.75,13.48,-43.46464859114803,287.84653699132457,1.1006836087027831,False,False,0.0,False,False,-1.0,-1.0,-0.000600564877610549,0.000600564877610549,5.5640551914544725,5.5640551914544725,1.8271343616170785,0.0501
2011-02-18,880.75,13.48,-43.63377384979992,292.56672850469704,1.2567805211003351,False,False,0.0,False,False,-1.0,-1.0,0.0032133464500858798,-0.0032133464500858798,5.560841845004386,5.560841845004386,1.8271343616170785,0.0501
2011-02-19,869.0,13.48,-43.77606838385391,278.89859818564923,0.7818798735115269,False,False,0.0,False,False,-1.0,-1.0,-0.009367498586494315,0.009367498586494315,5.57020934359088,5.57020934359088,1.8271343616170785,0.0501
2011-02-20,869.0,13.48,-43.89786810879827,277.2567378933993,0.7227876682985126,False,False,0.0,False,False,-1.0,-1.0,-0.001123989639275921,0.001123989639275921,5.5713333332301564,5.5713333332301564,1.8271343616170785,0.0501
2011-02-21,869.0,13.48,-44.003583474080436,275.83169476939565,0.6730725382968616,False,False,0.0,False,False,-1.0,-1.0,-0.0009746095021386074,0.0009746095021386074,5.572307942732295,5.572307942732295,1.8271343616170785,0.0501
2011-02-22,884.75,13.48,-44.134162061763,289.8214954074348,1.1504229215142159,False,False,0.0,False,False,-1.0,-1.0,0.00945462179427366,-0.00945462179427366,5.5628533209380215,5.5628533209380215,1.8271343616170785,0.0501
2011-02-23,896.0,13.48,-44.30226949651672,298.80540718695454,1.4510616776381877,False,False,0.0,False,False,-1.0,-1.0,0.006016571331533467,-0.006016571331533467,5.556836749606488,5.556836749606488,1.8271343616170785,0.0501
2011-02-24,915.25,13.48,-44.533453308150634,314.93904940612947,1.9857853724113843,False,False,0.0,False,False,-1.0,-1.0,0.01064532720564817,-0.01064532720564817,5.546191422400839,5.546191422400839,1.8271343616170785,0.0501
2011-02-25,931.25,13.48,-44.832997270548475,326.90119679300653,2.3642515305732323,False,False,0.0,True,False,-1.0,-1.0,0.007789891058715944,-0.007789891058715944,5.5384015313421235,5.5384015313421235,1.8271343616170785,0.0501
2011-02-26,928.25,13.48,-45.156038392054505,319.54660247510526,2.0936307058714667,False,False,0.0,False,False,-1.0,-1.0,-0.004785177175667845,0.004785177175667845,5.5431867085177915,5.5431867085177915,1.8271343616170785,0.0501
2011-02-27,928.25,13.48,-45.4824606606509,315.14643029442584,1.9302118021197625,False,False,0.0,False,False,-1.0,-1.0,-0.0028547455088581202,0.0028547455088581202,5.54604145402665,5.54604145402665,1.8271343616170785,0.0501
2011-02-28,928.25,13.48,-45.80023202835227,310.86287225781143,1.7739346528489406,False,False,0.0,False,False,-1.0,-1.0,-0.0027713866079754935,0.0027713866079754935,5.548812840634626,5.548812840634626,1.8271343616170785,0.0501
2011-03-01,939.25,17.0,-45.72844547306021,161.8664269579764,-3.0992669032714497,True,False,1.0,False,True,0.0,1.0,-0.08679571903967857,0.08679571903967857,5.635608559674305,5.635608559674305,1.8271343616170785,0.0501
2011-03-02,947.5,17.0,-45.39480035656536,175.78839393838882,-2.606320805080535,False,False,1.0,False,False,0.0,1.0,0.008097878662129921,0.008097878662129921,5.643706438336435,5.643706438336435,1.8271343616170785,0.0501
2011-03-03,971.0,17.0,-44.99282066791364,206.1220486454681,-1.6153650703923443,False,False,1.0,False,False,0.0,1.0,0.017474531941263197,0.017474531941263197,5.661180970277698,5.661180970277698,1.8271343616170785,0.0501
2011-03-04,965.25,17.0,-44.559004456096474,207.74692424635998,-1.552017507760912,False,False,1.0,False,False,0.0,1.0,0.0009431854302051074,0.0009431854302051074,5.662124155707903,5.662124155707903,1.8271343616170785,0.0501
2011-03-05,971.25,17.0,-44.15253907788674,220.65683567592532,-1.1373069419933943,False,False,1.0,False,False,0.0,1.0,0.007497727840173669,0.007497727840173669,5.669621883548077,5.669621883548077,1.8271343616170785,0.0501
2011-03-06,971.25,17.0,-43.78459459298204,226.9118919193054,-0.9402545803473122,False,False,1.0,False,False,0.0,1.0,0.0036460128243590356,0.0036460128243590356,5.673267896372436,5.673267896372436,1.8271343616170785,0.0501
2011-03-07,971.25,17.0,-43.457879744288064,232.46604434710287,-0.7716818546273903,False,False,1.0,False,False,0.0,1.0,0.0032479778599933595,0.0032479778599933595,5.676515874232429,5.676515874232429,1.8271343616170785,0.0501
2011-03-08,981.75,17.0,-43.201056068727894,247.3320468316258,-0.3006147685901809,False,False,1.0,False,False,0.0,1.0,0.008662323787760664,0.008662323787760664,5.685178198020189,5.685178198020189,1.8271343616170785,0.0501
2011-03-09,956.25,17.0,-42.92279298287665,226.56251929109692,-0.9809913489520428,False,False,1.0,False,False,0.0,1.0,-0.012319275049152898,-0.012319275049152898,5.672858922971036,5.672858922971036,1.8271343616170785,0.0501
2011-03-10,971.0,17.0,-42.68809667274987,245.30235656325215,-0.37530218414463495,False,False,1.0,False,False,0.0,1.0,0.011044889078879563,0.011044889078879563,5.683903812049916,5.683903812049916,1.8271343616170785,0.0501
2011-03-11,955.25,17.0,-42.44546976662726,233.6770139673365,-0.7564105224866107,False,False,1.0,False,False,0.0,1.0,-0.006932957558878064,-0.006932957558878064,5.676970854491038,5.676970854491038,1.8271343616170785,0.0501
2011-03-12,959.75,17.0,-42.22237942387866,241.9695497940628,-0.4882439940249736,False,False,1.0,False,False,0.0,1.0,0.004943299733073867,0.004943299733073867,5.681914154224112,5.681914154224112,1.8271343616170785,0.0501
2011-03-13,959.75,17.0,-42.02022571195187,245.40616289681816,-0.3778941664950672,False,False,1.0,False,False,0.0,1.0,0.0020528198757974077,0.0020528198757974077,5.683966974099909,5.683966974099909,1.8271343616170785,0.0501
2011-03-14,959.75,17.0,-41.838583005579615,248.49408890514655,-0.2810179188320696,False,False,1.0,False,False,0.0,1.0,0.0018479443955438596,0.0018479443955438596,5.685814918495453,5.685814918495453,1.8271343616170785,0.0501
2011-03-15,962.5,17.0,-41.68314934802011,253.8864610836581,-0.10799633543647284,False,False,1.0,False,False,0.0,1.0,0.0032268137699418757,0.0032268137699418757,5.689041732265395,5.689041732265395,1.8271343616170785,0.0501
2011-03-16,951.5,17.0,-41.52087986332716,245.64504232343825,-0.38288798355567505,False,False,1.0,False,False,0.0,1.0,-0.004972633485691843,-0.004972633485691843,5.684069098779703,5.684069098779703,1.8271343616170785,0.0501
2011-03-17,956.75,17.0,-41.37530479454953,253.36981849265806,-0.13479879702160463,False,False,1.0,False,False,0.0,1.0,0.004653114710682492,0.004653114710682492,5.688722213490385,5.688722213490385,1.8271343616170785,0.0501
2011-03-18,972.5,17.0,-41.28401393995727,270.6717630207264,0.4346120259295228,False,True,0.0,False,False,0.0,0.0,0.010333663463314416,0.010333663463314416,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-19,970.5,17.0,-41.22063299315827,269.74923911630947,0.398289371159338,False,False,0.0,False,False,0.0,0.0,-0.0005519961013685072,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-20,970.5,17.0,-41.174819598713384,270.52806682187247,0.4192695631311069,False,False,0.0,False,False,0.0,0.0,0.0004662321408066151,0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-21,970.5,17.0,-41.1403019841008,271.11486627028637,0.43396723425503514,False,False,0.0,False,False,0.0,0.0,0.00035140108535685536,0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-22,977.5,17.0,-41.130153785835866,278.28738564079026,0.6766655112722464,False,False,0.0,False,False,0.0,0.0,0.004277727327318413,0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-23,986.75,17.0,-41.15562438546571,287.104385447083,0.9784608234055511,False,False,0.0,False,False,0.0,0.0,0.005228310445191857,0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-24,986.5,17.0,-41.19838611136649,286.12743610676966,0.9401408838318297,False,False,0.0,False,False,0.0,0.0,-0.0005791482778394334,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-25,980.75,17.0,-41.234870550949765,279.75720063385404,0.7123083523378533,False,False,0.0,False,False,0.0,0.0,-0.0037878773587236916,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-26,978.5,17.0,-41.261167605645326,277.0601507040294,0.6114846113662002,False,False,0.0,False,False,0.0,0.0,-0.0016054443443048925,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-27,978.5,17.0,-41.28096674943262,276.7235652596454,0.5950616209862374,False,False,0.0,False,False,0.0,0.0,-0.0002003155179856013,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-28,978.5,17.0,-41.296500809333416,276.4594862413319,0.5815889202720234,False,False,0.0,False,False,0.0,0.0,-0.00015713933472682247,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-29,979.75,17.0,-41.31207870698581,277.4446619812412,0.6126701028439592,False,False,0.0,False,False,0.0,0.0,0.0005856975794088506,0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-30,976.25,17.0,-41.31882228832816,273.8300210984213,0.4801422997954465,False,False,0.0,False,False,0.0,0.0,-0.002153276658456189,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-03-31,975.25,17.0,-41.318249422856844,272.8397598114336,0.44058002004162305,False,False,0.0,False,False,0.0,0.0,-0.0005902633103329497,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-04-01,989.25,19.4,-41.09919796208621,191.92555953552767,-2.4271015935807476,True,False,1.0,False,True,0.0,1.0,-0.04529013649992101,-0.0,5.699055876953699,5.699055876953699,1.8271343616170785,0.0501
2011-04-02,997.0,19.4,-40.78614892920141,205.7487107734927,-1.9246542391746153,False,False,1.0,False,False,0.0,1.0,0.007729982537266397,0.007729982537266397,5.7067858594909655,5.7067858594909655,1.8271343616170785,0.0501
2011-04-03,997.0,19.4,-40.44038212527588,212.45658676964797,-1.6793264530916725,False,False,1.0,False,False,0.0,1.0,0.0037652049039839804,0.0037652049039839804,5.7105510643949495,5.7105510643949495,1.8271343616170785,0.0501
2011-04-04,997.0,19.4,-40.096953650613074,219.11909917810647,-1.4427927961788225,False,False,1.0,False,False,0.0,1.0,0.0037537799890535128,0.0037537799890535128,5.714304844384003,5.714304844384003,1.8271343616170785,0.0501
2011-04-05,1005.5,19.4,-39.79525807323084,233.4719933793217,-0.9399648511853894,False,False,1.0,False,False,0.0,1.0,0.008074637444673535,0.008074637444673535,5.722379481828677,5.722379481828677,1.8271343616170785,0.0501
2011-04-06,1018.25,19.4,-39.56305234201587,250.7267845648921,-0.33644194129180244,False,False,1.0,False,False,0.0,1.0,0.00966236419968156,0.00966236419968156,5.732041846028358,5.732041846028358,1.8271343616170785,0.0501
2011-04-07,1021.75,19.4,-39.38666673545253,257.64866533222096,-0.0967740419732259,False,False,1.0,False,False,0.0,1.0,0.003875955760122954,0.003875955760122954,5.7359178017884815,5.7359178017884815,1.8271343616170785,0.0501
2011-04-08,1020.75,19.4,-39.2448129496497,259.4006287767959,-0.038469850317281326,False,False,1.0,False,False,0.0,1.0,0.000983089648571284,0.000983089648571284,5.7369008914370525,5.7369008914370525,1.8271343616170785,0.0501
