Date,SB,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair,sharpe,CAGR
2009-02-05,12.59,83.175,-0.14788816884035577,0.2894015567034085,-1.1810920856260732,False,False,0.0,False,False,0.0,0.0,-0.0008565468531663425,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-06,12.98,83.625,-0.1482473813502564,0.5828127345848095,0.7242438556769415,False,True,0.0,False,False,0.0,0.0,0.011562005466274458,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-07,13.12,83.65,-0.14874750903474174,0.677270869243852,1.234418709448147,False,False,0.0,False,False,0.0,0.0,0.003695150630274211,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-08,13.12,83.65,-0.1492193581549331,0.6378006903398461,0.9131608982316858,False,False,0.0,False,False,0.0,0.0,-0.001541671417623609,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-09,13.12,83.65,-0.1496479891909284,0.6019457041788385,0.6478303608775667,False,False,0.0,False,False,0.0,0.0,-0.0013985065226596275,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-10,13.28,84.7,-0.1500385514396478,0.5717346930618294,0.2997926074215402,False,False,0.0,False,False,0.0,0.0,-0.0011624866361874316,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-11,13.23,84.775,-0.15032910183438689,0.48585039198985136,-0.49293582393256796,False,False,0.0,False,True,0.0,0.0,-0.003306529852491967,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-12,13.19,84.525,-0.15058167848001494,0.4620836264767352,-1.4497247005252327,False,False,0.0,False,False,0.0,0.0,-0.0009170013966630199,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-13,13.13,84.35,-0.15077456440882284,0.4121654921157951,-1.4012035419893298,False,False,0.0,False,False,0.0,0.0,-0.0019312308095176729,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-14,13.26,84.05,-0.15112171085402665,0.5582202027190597,0.31205144257712575,False,True,0.0,False,False,0.0,0.0,0.005625758778624313,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-15,13.26,84.05,-0.15145495929492672,0.5302106712614094,0.18988387025923914,False,False,0.0,False,False,0.0,0.0,-0.0010777129088414092,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-16,13.26,84.05,-0.1517584191003757,0.504704874613422,0.02036119145838048,False,False,0.0,False,False,0.0,0.0,-0.0009804154258122588,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-17,13.26,84.05,-0.1520330320205693,0.4816236586711504,-0.19187246553886186,False,False,0.0,False,True,0.0,0.0,-0.0008864306913652049,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-18,12.98,81.25,-0.15242814646523004,0.5952130997000609,1.4484194884397088,False,True,0.0,False,False,0.0,0.0,0.004478233602962667,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-19,12.69,79.925,-0.15271507677831023,0.4842474884935548,-0.425949598700789,False,False,0.0,False,True,0.0,0.0,-0.004457210568558609,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-20,12.84,81.2,-0.15292336996878345,0.4226223585347828,-1.5651955396354889,False,False,0.0,False,False,0.0,0.0,-0.002439886310984304,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-21,12.71,80.675,-0.15305627138670627,0.3621853058774729,-1.6156062714623254,False,False,0.0,False,False,0.0,0.0,-0.002411904365766015,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-22,12.71,80.675,-0.15317074699513775,0.35294998616726403,-1.2265016126421808,False,False,0.0,False,False,0.0,0.0,-0.0003684246732308961,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-23,12.71,80.675,-0.1532741146408894,0.3446108013462492,-0.9816306771188253,False,False,0.0,False,False,0.0,0.0,-0.0003325645219282389,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-24,12.68,81.1,-0.1532708582856566,0.24973339303325126,-1.3588886762133143,False,False,0.0,False,False,0.0,0.0,-0.0037784309421340268,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-25,12.83,82.2,-0.15323769881003352,0.23386115781524452,-1.3122139735759508,False,False,0.0,False,False,0.0,0.0,-0.0006242487432528668,-0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-26,13.18,82.2,-0.15356211392609223,0.557194235275217,1.8064952449094898,False,True,0.0,False,False,0.0,0.0,0.0125309270785584,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-27,13.7,82.95,-0.1543107352511869,0.8999245109140439,2.0225260342501157,False,False,0.0,True,False,-1.0,-1.0,0.012933181106596477,0.0,4.18481234975301,4.18481234975301,1.4166731401342785,0.0414
2009-02-28,13.47,82.525,-0.1548715874145728,0.6892222486123796,0.8566082290769897,False,False,0.0,False,False,-1.0,-1.0,-0.00802651503498888,0.00802651503498888,4.1928388647879995,4.1928388647879995,1.4166731401342785,0.0414
2009-03-01,13.47,82.525,-0.15536545564922724,0.6484657725475209,0.5225227702226828,False,False,0.0,False,False,-1.0,-1.0,-0.001550174885659678,0.001550174885659678,4.194389039673659,4.194389039673659,1.4166731401342785,0.0414
2009-03-02,13.47,82.525,-0.15581060560196078,0.6117297726981867,0.2334341595221786,False,False,0.0,False,False,-1.0,-1.0,-0.0013953062442833705,0.0013953062442833705,4.195784345917942,4.195784345917942,1.4166731401342785,0.0414
2009-03-03,13.47,83.95,-0.15598627682041144,0.37495206092645894,-0.916283506995191,False,False,0.0,False,True,0.0,0.0,-0.008913129474291678,0.008913129474291678,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-04,13.47,84.225,-0.15607480244731092,0.3245997638752396,-1.3455272781240533,False,False,0.0,False,False,0.0,0.0,-0.0018918482008351235,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-05,13.26,84.65,-0.15586499676799911,0.06602802358887416,-1.621131429243846,False,False,0.0,False,False,0.0,0.0,-0.009774401383540157,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-06,12.83,83.9,-0.15532441309176642,-0.20171825839920388,-1.6928220608174929,False,False,0.0,False,False,0.0,0.0,-0.010352996630497322,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-07,12.78,82.45,-0.15497443935113187,0.002357475499175976,-0.8114448185843811,False,False,0.0,False,False,0.0,0.0,0.007984920115489633,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-08,12.78,82.45,-0.1546732355569596,0.027191728328679332,-0.5244406778266142,False,False,0.0,False,False,0.0,0.0,0.0009726408691619319,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-09,12.78,82.45,-0.15440218600946592,0.04953976351953315,-0.2137229552135415,False,False,0.0,False,False,0.0,0.0,0.0008760341829856792,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-10,12.49,83.2,-0.153744145655647,-0.30151291854983064,-1.4703192628238126,False,False,0.0,False,False,0.0,0.0,-0.01388574660070227,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-11,12.59,82.875,-0.15325450614827715,-0.11096719703846958,-0.3107623998919798,False,False,0.0,False,False,0.0,0.0,0.0075341413409319375,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-12,12.81,82.55,-0.15309783395106777,0.1717738073393562,1.379436122864171,False,True,0.0,False,False,0.0,0.0,0.011110440556339021,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-13,13.09,83.9,-0.15306321771544226,0.2479960336743936,1.3026333475630376,False,False,0.0,False,False,0.0,0.0,0.002939311070367601,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-14,12.88,84.65,-0.15271409983666098,-0.04724855117335203,-0.28794963338388024,False,False,0.0,False,True,0.0,0.0,-0.011440374368553987,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-15,12.88,84.65,-0.1523631750140817,-0.01754276494201612,-0.0900321975695753,False,False,0.0,False,False,0.0,0.0,0.001152390144484073,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-16,12.88,84.65,-0.1520426704988431,0.009587942272931471,0.0907955578858371,False,True,0.0,False,False,0.0,0.0,0.0010536028376604688,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-17,12.99,84.45,-0.15189524659083317,0.16244642540413778,0.7691725127006879,False,False,0.0,False,False,0.0,0.0,0.005920719121954959,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-18,13.11,84.3,-0.15192255891020615,0.30292828386962256,1.3410928853910813,False,False,0.0,False,False,0.0,0.0,0.005420437154481888,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-19,13.24,83.55,-0.1522117274723831,0.5227101696823926,1.7128425593692542,False,False,0.0,False,False,0.0,0.0,0.008467058281102563,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-20,13.62,84.75,-0.15270253356397354,0.6784602804532422,1.5792800256306647,False,False,0.0,False,False,0.0,0.0,0.005863745566535529,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-21,13.54,85.2,-0.15302127662937623,0.5025872311771433,0.7179203066938071,False,False,0.0,False,False,0.0,0.0,-0.006617387885189871,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-22,13.54,85.2,-0.15329474268660215,0.47928792310149504,0.42796058958959216,False,False,0.0,False,False,0.0,0.0,-0.0008758903900126291,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-23,13.54,85.2,-0.15353983053079814,0.45840643877599696,0.08782477956073545,False,False,0.0,False,False,0.0,0.0,-0.0007843814562593748,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-24,13.41,85.95,-0.1535143066916758,0.215445339850465,-1.5569526903805024,False,False,0.0,False,True,0.0,0.0,-0.009132312193500419,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-25,13.0,85.45,-0.153129312079259,-0.08489971717268219,-1.906150754966969,False,False,0.0,False,False,0.0,0.0,-0.011514135008363425,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-26,12.82,84.625,-0.15268789239008052,-0.10121289351056362,-1.338809963708809,False,False,0.0,False,False,0.0,0.0,-0.0006337376721667233,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-27,12.75,84.275,-0.15226177113145495,-0.08186076210336601,-0.9822981307656403,False,False,0.0,False,False,0.0,0.0,0.0007564786466145416,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-28,12.62,84.325,-0.15173521558641836,-0.17507205432472972,-0.9889809341457596,False,False,0.0,False,False,0.0,0.0,-0.003667559628480475,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-29,12.62,84.325,-0.15124306295762768,-0.13357128390195605,-0.6308411699279407,False,False,0.0,False,False,0.0,0.0,0.0016355904322031122,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-30,12.62,84.325,-0.1507959439066995,-0.09586796993243674,-0.23874962613183234,False,False,0.0,False,False,0.0,0.0,0.0014881398187843436,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-03-31,12.48,82.825,-0.15047755426870676,0.01669656769436223,1.8802757006268462,False,True,0.0,False,False,0.0,0.0,0.004512815952076723,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-01,12.67,83.925,-0.15022264933351273,0.06256415468494403,1.6175226645813685,False,False,0.0,False,False,0.0,0.0,0.001814566448561789,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-02,12.73,83.775,-0.15007842534182825,0.15717991698833877,1.6267054671965022,False,False,0.0,False,False,0.0,0.0,0.003739336642832151,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-03,13.06,85.175,-0.150077842754115,0.27711974341825574,1.5932774008022685,False,False,0.0,False,False,0.0,0.0,0.0046411168275010805,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-04,12.55,86.05,-0.14944811477619413,-0.3100102764915036,-1.5688147013313107,False,False,0.0,False,True,0.0,0.0,-0.02310624881773277,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-05,12.55,86.05,-0.14881060710086574,-0.25515274102949626,-1.0974357532217778,False,False,0.0,False,False,0.0,0.0,0.002163565568794122,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-06,12.55,86.05,-0.14822816560243668,-0.20503365008967478,-0.7535660353471648,False,False,0.0,False,False,0.0,0.0,0.0019805976800052138,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-07,12.22,86.525,-0.14730194321395954,-0.5253006365878488,-1.4338421951190208,False,False,0.0,False,False,0.0,0.0,-0.01282848507054657,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-08,12.23,86.275,-0.14646977497193958,-0.4066798357040877,-0.7688115509144741,False,False,0.0,False,False,0.0,0.0,0.004770270967716521,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-09,12.38,86.05,-0.14590180576949674,-0.17485038646519335,0.21167337849014617,False,True,0.0,False,False,0.0,0.0,0.009297406868129153,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-10,12.74,87.525,-0.14555324712017645,0.0004520458065560007,1.58568924257339,False,False,0.0,False,False,0.0,0.0,0.0068801233282044134,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-11,12.74,87.525,-0.1452574142539681,0.026344817421442457,1.229729056201523,False,False,0.0,False,False,0.0,0.0,0.0010172516060722174,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-12,12.74,87.525,-0.14499300909571697,0.04948687889737258,1.0124018910184849,False,False,0.0,False,False,0.0,0.0,0.0009100115819812729,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-13,12.74,87.525,-0.144755050315902,0.07031422110067709,0.8612250132945778,False,False,0.0,False,False,0.0,0.0,0.0008196615410569116,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-14,13.32,87.475,-0.14512085983629228,0.625552785820334,1.907744000510562,False,False,0.0,False,False,0.0,0.0,0.021343469655469505,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-15,13.25,86.35,-0.145605246661097,0.6769869508142747,1.4965016630250798,False,False,0.0,False,False,0.0,0.0,0.001991795647392998,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-16,13.14,87.425,-0.14579691333866546,0.3937048513671737,0.43989957468785323,False,False,0.0,False,False,0.0,0.0,-0.010943323400299809,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-17,12.84,88.55,-0.14548628399822633,-0.04281044804294076,-0.988799804726771,False,False,0.0,False,True,0.0,0.0,-0.01696996913660831,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-18,13.19,88.325,-0.14553114949253573,0.3359612210717806,0.1210929849713888,False,True,0.0,False,False,0.0,0.0,0.014543507338853257,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-19,13.19,88.325,-0.1456062264686326,0.32933004715802383,-0.045351378926380116,False,False,0.0,False,True,0.0,0.0,-0.000254549074006957,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-20,13.19,88.325,-0.1456775860152964,0.3230272151989446,-0.2300263705753043,False,False,0.0,False,False,0.0,0.0,-0.00024188657719885384,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-21,12.92,87.375,-0.14561352388071105,0.19701835092287112,-0.5517052801332517,False,False,0.0,False,False,0.0,0.0,-0.004913970847871681,-0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-22,13.06,87.975,-0.1455935184943508,0.2514102104594915,-0.02715995366889585,False,False,0.0,False,False,0.0,0.0,0.0021026217501277458,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-23,13.22,87.575,-0.14579274973428044,0.4521999420203908,1.2035460304904344,False,True,0.0,False,False,0.0,0.0,0.007726307387040496,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-24,13.35,87.75,-0.14609780223305416,0.5299178540494971,1.6258568721728448,False,False,0.0,False,False,0.0,0.0,0.0029697236560310976,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-25,13.9,86.85,-0.14705196451347943,1.1285368820043118,2.1172856622729848,False,False,0.0,True,False,-1.0,-1.0,0.022444176583282988,0.0,4.2046974753922335,4.2046974753922335,1.4166731401342785,0.0414
2009-04-26,13.9,86.85,-0.14798726592920303,1.0473059540487188,1.2863234809655857,False,False,0.0,False,False,-1.0,-1.0,-0.003036364405620911,0.003036364405620911,4.2077338397978545,4.2077338397978545,1.4166731401342785,0.0414
2009-04-27,13.9,86.85,-0.148841658287301,0.9731019777479091,0.8194027761332275,False,False,0.0,False,False,-1.0,-1.0,-0.0027660289400310034,0.0027660289400310034,4.210499868737886,4.210499868737886,1.4166731401342785,0.0414
2009-04-28,13.7,86.15,-0.14952241682110917,0.8186437908614437,0.22605684915515153,False,False,0.0,False,False,-1.0,-1.0,-0.005810771492289898,0.005810771492289898,4.2163106402301755,4.2163106402301755,1.4166731401342785,0.0414
2009-04-29,13.79,85.9,-0.1502543650733182,0.8831500402019632,0.1950438256935297,False,False,0.0,False,False,-1.0,-1.0,0.0024162494615528607,-0.0024162494615528607,4.213894390768623,4.213894390768623,1.4166731401342785,0.0414
