Date,SI,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_SI_pair,sharpe,CAGR
2018-05-21,16.455,14.47,-0.47737269724910625,9.54741707080543,-0.4555537766438352,False,False,0.0,False,False,0.0,0.0,0.0038204719233058577,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-22,16.452,14.47,-0.47595886322239533,9.56487524917194,-0.4148318171076305,False,False,0.0,False,False,0.0,0.0,0.0007480219825249023,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-23,16.508,14.47,-0.47476117920673805,9.6382057368785,-0.2511329150064369,False,False,0.0,False,False,0.0,0.0,0.003136758193746228,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-24,16.338,14.47,-0.47332031056816737,9.48905510607862,-0.582907988874026,False,False,0.0,False,False,0.0,0.0,-0.006432526211721032,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-25,17.315,14.47,-0.4741406691647045,10.454184517186727,1.5650412169267713,False,True,0.0,False,False,0.0,0.0,0.03992127635960089,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-26,16.480999999999998,14.47,-0.47422473999457887,9.61896801227844,-0.29197856071611217,False,False,0.0,False,True,0.0,0.0,-0.03578012082353359,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-27,16.480999999999998,14.47,-0.4738833338442955,9.623908159273043,-0.2784844854252154,False,False,0.0,False,False,0.0,0.0,0.00021167741683069739,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-28,16.51,14.47,-0.4733793436140498,9.660200897904701,-0.20116791986966076,False,False,0.0,False,False,0.0,0.0,0.0015536408713550602,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-29,16.495,14.47,-0.47276364352497446,9.65411007819362,-0.21658867190631798,False,False,0.0,False,False,0.0,0.0,-0.00026100653249096787,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-30,16.305,14.47,-0.47164932375371105,9.4802342852838,-0.6022184661386623,False,False,0.0,False,False,0.0,0.0,-0.007517403983006738,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-05-31,16.479,14.47,-0.47070520018687606,9.667895753295902,-0.1836400336065782,False,False,0.0,False,False,0.0,0.0,0.008057562388912845,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-01,16.402,15.18,-0.46882613267311873,9.285219306022059,-1.0321679022904895,False,False,0.0,False,False,0.0,0.0,-0.016271100626055343,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-02,16.891,15.18,-0.4677078038746626,9.79119553718262,0.09142815483673172,False,True,0.0,False,False,0.0,0.0,0.021090423705664336,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-03,16.891,15.18,-0.46708476853290976,9.80065321367043,0.10985672833162916,False,False,0.0,False,False,0.0,0.0,0.00039437636977087743,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-04,16.41,15.18,-0.4655305147867282,9.343246785537467,-0.9050220858768399,False,False,0.0,False,True,0.0,0.0,-0.019483376766561724,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-05,16.379,15.18,-0.46342928746523393,9.34414341627775,-0.9020818572576903,False,False,0.0,False,False,0.0,0.0,3.8294876244666354e-05,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-06,16.491,15.18,-0.4613907857458481,9.487087872378027,-0.5924562697431417,False,False,0.0,False,False,0.0,0.0,0.006084060043460303,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-07,16.642,15.18,-0.4598540471989512,9.66141556351992,-0.21312086153252785,False,False,0.0,False,False,0.0,0.0,0.007379704435416543,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-08,17.421,15.18,-0.4606351746111598,10.428558049402593,1.5040019863195548,False,True,0.0,False,False,0.0,0.0,0.0314229549211065,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-09,16.694000000000006,15.18,-0.4608519003733742,9.698268152332187,-0.15889736396246007,False,False,0.0,False,True,0.0,0.0,-0.03082727579047295,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-10,16.694000000000006,15.18,-0.4607440693043904,9.69990502795936,-0.16296299958718166,False,False,0.0,False,False,0.0,0.0,6.910119319877241e-05,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-11,16.785,15.18,-0.46068558283459865,9.791792852570794,0.03930659173704847,False,True,0.0,False,False,0.0,0.0,0.0038643714406940764,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-12,16.905,15.18,-0.46095473749798294,9.90770708478062,0.2977900059933879,False,False,0.0,False,False,0.0,0.0,0.004849502623910198,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-13,16.849,15.18,-0.4612587772080268,9.847091761982153,0.14449268858953032,False,False,0.0,False,False,0.0,0.0,-0.002541426187781303,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-14,17.416,15.18,-0.46296565503684417,10.388181356540706,1.4291179709191213,False,False,0.0,False,False,0.0,0.0,0.022136050117657798,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-15,17.226,15.18,-0.46492834446470266,10.168387731025813,0.8938919297357982,False,False,0.0,False,False,0.0,0.0,-0.009051109162853439,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-16,16.452,15.18,-0.4650699946516855,9.392237481187415,-1.0220802400185147,False,False,0.0,False,True,0.0,0.0,-0.03301114704681851,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-17,16.452,15.18,-0.46418557608888267,9.405662954970763,-1.0001253755748236,False,False,0.0,False,False,0.0,0.0,0.0005713371868665205,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-18,16.585,15.18,-0.46308188151308005,9.555417038631447,-0.6425733041034829,False,False,0.0,False,False,0.0,0.0,0.006341593408855382,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-19,16.845,15.18,-0.46252609372305703,9.823853897283993,0.021207588162769235,False,True,0.0,False,False,0.0,0.0,0.011247599738023781,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-20,16.724,15.18,-0.46200579308708667,9.710752060938024,-0.27735155502428976,False,False,0.0,False,True,0.0,0.0,-0.004764740909996084,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-21,16.289,15.18,-0.46047548130741334,9.298982193753467,-1.3385113270866928,False,False,0.0,False,False,0.0,0.0,-0.017688455355451684,-0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-22,16.305999999999994,15.18,-0.4584759414152282,9.34633520931683,-1.214047346152481,False,False,0.0,False,False,0.0,0.0,0.0020353175372115726,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
2018-06-23,16.867,15.18,-0.4576351000675172,9.92009918097509,0.25601632239858624,False,True,0.0,False,False,0.0,0.0,0.024093657566587306,0.0,8.073314244536006,8.073314244536006,1.8158425734557542,0.0518
