Date,Price,Open,High,Low,Vol.,Change %
2004-10-25,428.5,419.1,430.0,410.3,2.31K,2.34%
2004-09-25,418.7,407.3,418.8,396.8,6.64K,2.02%
2004-08-25,410.4,394.0,412.8,388.8,6.21K,4.96%
2004-07-25,391.0,397.8,397.8,385.0,47.09K,-0.41%
2004-06-25,392.6,395.1,405.0,383.0,6.55K,-0.36%
2004-05-25,394.0,392.0,396.3,377.0,9.87K,1.81%
2004-04-25,387.0,427.2,432.0,380.0,6.61K,-9.43%
2004-03-25,427.3,397.5,428.0,391.1,41.43K,7.80%
2004-02-25,396.4,403.0,416.0,392.5,5.82K,-1.44%
2004-01-25,402.2,422.5,428.2,396.5,56.01K,-3.25%
2003-12-25,415.7,397.2,415.8,397.0,10.49K,4.76%
2003-11-25,396.8,382.8,402.0,382.8,12.77K,3.20%
2003-10-25,384.5,385.5,394.0,368.0,3.78K,-0.23%
2003-09-25,385.4,375.0,388.7,375.0,8.83K,2.58%
2003-08-25,375.7,354.1,375.0,346.0,5.88K,6.13%
2003-07-25,354.0,344.0,362.0,344.0,37.36K,2.31%
2003-06-25,346.0,362.4,370.0,343.4,10.49K,-5.08%
2003-05-25,364.5,339.0,370.0,339.0,37.94K,7.49%
2003-04-25,339.1,336.0,338.4,319.3,5.20K,0.95%
2003-03-25,335.9,342.7,343.0,328.4,30.92K,-4.08%
2003-02-25,350.2,368.0,388.9,342.0,7.92K,-4.91%
2003-01-25,368.3,345.2,372.0,345.2,7.48K,5.96%
2002-12-25,347.6,318.1,350.5,315.5,8.25K,9.72%
2002-11-25,316.8,321.5,321.5,316.5,15.46K,-0.38%
2002-10-25,318.0,322.0,322.9,309.8,3.93K,-1.82%
2002-09-25,323.9,312.5,324.2,312.5,4.39K,3.68%
2002-08-25,312.4,303.2,318.0,298.0,4.22K,3.03%
2002-07-25,303.2,315.0,320.5,300.8,27.56K,-3.29%
2002-06-25,313.5,326.6,330.3,316.0,6.89K,-3.98%
2002-05-25,326.5,307.5,329.0,306.8,28.82K,5.70%
2002-04-25,308.9,302.6,312.5,297.5,2.66K,2.08%
2002-03-25,302.6,298.0,304.5,298.0,4.24K,1.99%
2002-02-25,296.7,282.3,308.0,282.2,5.10K,5.18%
2002-01-25,282.1,279.0,283.2,276.7,27.50K,1.22%
2001-12-25,278.7,274.2,281.3,271.2,2.90K,1.75%
2001-11-25,273.9,280.5,280.5,272.6,27.21K,-2.00%
2001-10-25,279.5,291.8,292.9,274.0,0.96K,-4.41%
2001-09-25,292.4,289.5,294.0,289.0,2.73K,6.56%
2001-08-25,274.4,266.2,280.8,265.8,2.17K,3.08%
2001-07-25,266.2,263.7,267.5,263.7,19.97K,-1.63%
2001-06-25,270.6,264.7,277.0,264.5,1.96K,2.00%
2001-05-25,265.3,274.4,275.0,264.2,31.74K,0.49%
2001-04-25,264.0,257.2,265.0,255.0,4.32K,2.37%
2001-03-25,257.9,260.0,260.4,256.6,28.68K,-3.34%
2001-02-25,266.8,266.3,268.9,255.0,1.67K,0.45%
2001-01-25,265.6,262.9,266.6,262.9,17.24K,-2.35%
2000-12-25,272.0,269.7,276.0,268.0,2.48K,0.70%
2000-11-25,270.1,265.2,270.2,265.2,31.66K,1.96%
2000-10-25,264.9,272.8,275.0,264.5,0.34K,-3.18%
2000-09-25,273.6,277.5,277.5,272.0,4.27K,-1.69%
2000-08-25,278.3,276.0,279.0,271.0,3.15K,0.54%
2000-07-25,276.8,278.5,279.0,276.0,28.66K,-4.58%
2000-06-25,290.1,272.0,292.5,271.8,3.48K,6.77%
2000-05-25,271.7,272.7,274.4,271.3,27.36K,-0.51%
2000-04-25,273.1,278.4,289.5,274.0,1.57K,-1.90%
2000-03-25,278.4,275.0,279.8,274.5,15.49K,-4.79%
2000-02-25,292.4,282.3,322.0,282.2,2.67K,3.25%
2000-01-25,283.2,281.0,288.0,280.5,16.98K,-1.84%
1999-12-25,288.5,290.8,291.5,275.0,4.59K,-0.55%
1999-11-25,290.1,290.8,299.7,289.0,26.89K,-3.04%
1999-10-25,299.2,297.9,327.5,296.0,0.55K,0.44%
1999-09-25,297.9,255.5,320.0,254.1,1.30K,16.46%
1999-08-25,255.8,256.8,262.7,252.5,7.25K,-0.43%
1999-07-25,256.9,257.3,258.2,252.9,26.99K,-2.36%
1999-06-25,263.1,266.8,268.5,258.6,4.70K,-2.70%
1999-05-25,270.4,285.0,285.0,267.9,31.40K,-5.72%
1999-04-25,286.8,280.4,285.3,277.5,2.22K,2.50%
1999-03-25,279.8,285.0,293.0,278.2,7.34K,-2.68%
1999-02-25,287.5,286.8,292.5,285.5,5.04K,0.42%
1999-01-25,286.3,289.0,289.0,282.1,26.57K,-0.62%
1998-12-25,288.1,292.0,296.2,285.5,4.77K,-1.50%
1998-11-25,292.5,292.5,297.0,291.0,25.72K,-0.07%
1998-10-25,292.7,298.5,302.7,291.5,1.03K,-1.25%
1998-09-25,296.4,287.0,296.9,287.0,2.81K,7.51%
1998-08-25,275.7,286.3,290.0,275.6,6.66K,-3.70%
1998-07-25,286.3,294.2,294.2,286.0,23.44K,-3.60%
1998-06-25,297.0,292.2,300.1,284.6,4.39K,1.61%
1998-05-25,292.3,300.0,300.0,291.2,33.08K,-4.73%
1998-04-25,306.8,301.0,315.6,299.0,2.50K,2.10%
1998-03-25,300.5,295.5,303.5,292.8,13.44K,0.47%
1998-02-25,299.1,301.9,305.5,290.8,4.12K,-1.25%
1998-01-25,302.9,305.8,306.6,300.6,97.80K,4.74%
1997-12-25,289.2,296.1,297.7,281.5,18.44K,-2.59%
1997-11-25,296.9,312.5,312.5,295.1,44.85K,-4.63%
1997-10-25,311.3,336.0,338.0,310.1,0.73K,-6.88%
1997-09-25,334.3,324.9,335.0,324.9,3.53K,3.02%
1997-08-25,324.5,324.3,328.8,317.0,4.61K,0.12%
1997-07-25,324.1,331.8,331.8,320.0,79.04K,-3.02%
1997-06-25,334.2,344.6,345.0,336.5,3.48K,-3.07%
1997-05-25,344.8,342.4,347.6,340.2,24.03K,1.41%
1997-04-25,340.0,351.6,351.9,337.0,5.08K,-3.13%
1997-03-25,351.0,346.0,352.4,346.0,80.50K,-3.76%
1997-02-25,364.7,345.4,359.5,338.5,9.46K,5.74%
1997-01-25,344.9,353.7,353.7,344.2,16.67K,-6.35%
1996-12-25,368.3,371.2,373.5,366.0,8.03K,-1.26%
1996-11-25,373.0,379.0,379.0,372.5,0.14K,-1.35%
1996-10-25,378.1,377.3,384.0,377.0,0.32K,0.11%
1996-09-25,377.7,386.2,386.3,377.2,4.51K,-2.38%
1996-08-25,386.9,387.6,390.5,386.0,4.99K,-0.15%
1996-07-25,387.5,385.0,388.0,384.0,39.52K,1.95%
1996-06-25,380.1,390.8,391.0,382.3,8.76K,-2.76%
1996-05-25,390.9,391.3,392.0,389.5,34.89K,-0.26%
1996-04-25,391.9,395.3,398.0,389.7,5.30K,-0.99%
1996-03-25,395.8,392.5,400.8,392.5,38.56K,-1.03%
1996-02-25,399.9,406.8,417.5,396.5,3.35K,-1.41%
1996-01-25,405.6,387.4,407.3,387.4,38.54K,4.64%
1995-12-25,387.6,387.6,390.5,385.5,6.61K,0.10%
1995-11-25,387.2,386.3,389.0,381.8,16.39K,1.10%
1995-10-25,383.0,383.3,386.4,381.6,1.63K,-0.21%
1995-09-25,383.8,386.2,386.2,383.3,4.50K,0.24%
1995-08-25,382.9,382.0,387.0,381.3,6.82K,0.16%
1995-07-25,382.3,384.1,387.1,381.6,26.21K,-0.68%
1995-06-25,384.9,385.0,392.5,383.8,10.47K,-0.05%
1995-05-25,385.1,388.3,388.3,383.8,25.91K,-0.49%
1995-04-25,387.0,393.1,397.6,386.0,3.52K,-1.33%
1995-03-25,392.2,379.0,401.0,378.9,22.10K,4.06%
1995-02-25,376.9,376.4,381.0,374.5,8.16K,0.40%
1995-01-25,375.4,377.7,384.5,372.0,18.72K,-2.01%
1994-12-25,383.1,379.5,383.6,374.5,7.92K,0.63%
1994-11-25,380.7,384.3,386.7,379.7,32.31K,-0.73%
1994-10-25,383.5,392.6,395.2,385.5,0.77K,-2.71%
1994-09-25,394.2,389.5,395.9,389.5,3.61K,2.05%
1994-08-25,386.3,383.8,387.3,375.4,13.71K,0.86%
1994-07-25,383.0,386.7,387.7,381.5,26.64K,-0.73%
1994-06-25,385.8,387.4,395.7,377.7,8.57K,-0.34%
1994-05-25,387.1,376.6,388.2,376.6,29.49K,2.79%
1994-04-25,376.6,392.0,393.0,369.1,4.96K,-3.88%
1994-03-25,391.8,381.0,394.0,375.0,26.99K,2.73%
1994-02-25,381.4,381.3,390.5,375.7,4.82K,-0.05%
1994-01-25,381.6,391.0,391.0,375.3,32.87K,-2.35%
1993-12-25,390.8,369.5,392.5,368.3,7.52K,5.68%
1993-11-25,369.8,377.0,377.0,368.0,43.66K,0.30%
1993-10-25,368.7,354.3,375.0,350.5,0.43K,3.83%
1993-09-25,355.1,353.0,356.3,343.0,5.02K,-4.80%
1993-08-25,373.0,405.5,409.0,364.5,13.49K,-8.35%
1993-07-25,407.0,391.9,407.5,391.2,29.74K,7.56%
1993-06-25,378.4,377.5,378.6,361.7,8.40K,0.03%
1993-05-25,378.3,355.0,384.5,355.0,5.85K,6.12%
1993-04-25,356.5,337.0,354.2,336.0,4.00K,5.60%
1993-03-25,337.6,329.8,339.8,326.0,14.65K,2.80%
1993-02-25,328.4,330.0,334.2,328.0,9.19K,-0.55%
1993-01-25,330.2,330.0,332.7,327.0,23.73K,-0.78%
1992-12-25,332.8,334.4,339.2,331.8,9.66K,-0.45%
1992-11-25,334.3,339.9,339.9,329.7,54.38K,-1.50%
1992-10-25,339.4,348.1,351.0,338.0,32.24K,-2.42%
1992-09-25,347.8,340.8,351.2,340.8,1.99K,1.49%
1992-08-25,342.7,356.4,356.5,332.5,5.64K,-4.11%
1992-07-25,357.4,347.3,359.1,347.3,18.71K,4.17%
1992-06-25,343.1,336.6,345.0,336.4,7.11K,1.99%
1992-05-25,336.4,338.5,338.5,336.1,37.71K,-0.36%
1992-04-25,337.6,344.5,345.0,335.0,8.69K,-1.77%
1992-03-25,343.7,350.0,351.4,338.2,26.92K,-2.63%
1992-02-25,353.0,357.5,359.3,348.5,4.57K,-1.12%
1992-01-25,357.0,352.1,359.8,349.3,16.65K,0.82%
1991-12-25,354.1,368.8,372.5,351.0,6.30K,-3.75%
1991-11-25,367.9,355.6,369.3,353.7,29.72K,2.74%
1991-10-25,358.1,354.1,364.6,353.7,2.42K,1.16%
1991-09-25,354.0,348.3,356.1,341.0,4.75K,1.69%
1991-08-25,348.1,363.6,363.7,348.1,6.69K,-4.26%
1991-07-25,363.6,370.0,371.0,360.6,20.54K,-1.22%
1991-06-25,368.1,363.8,375.0,359.8,9.02K,1.85%
1991-05-25,361.4,356.0,364.3,353.2,18.06K,1.55%
1991-04-25,355.9,360.7,366.0,350.3,8.32K,-0.34%
1991-03-25,357.1,367.0,367.5,354.5,30.56K,-2.80%
1991-02-25,367.4,369.5,371.0,356.0,6.49K,0.44%
1991-01-25,365.8,393.0,403.2,365.2,24.84K,-7.20%
1990-12-25,394.2,383.0,394.2,368.0,10.11K,2.84%
1990-11-25,383.3,385.7,390.2,377.6,26.09K,1.03%
1990-10-25,379.4,397.0,399.8,360.5,3.81K,-5.74%
1990-09-25,402.5,382.0,408.2,378.0,3.23K,5.28%
1990-08-25,382.3,370.2,415.5,370.1,7.69K,3.32%
1990-07-25,370.0,358.0,373.3,353.0,29.92K,3.38%
1990-06-25,357.9,363.6,364.7,346.0,11.28K,-1.76%
1990-05-25,364.3,368.0,375.6,362.7,29.89K,-1.11%
1990-04-25,368.4,367.2,381.1,367.1,7.02K,-0.49%
1990-03-25,370.2,402.5,404.1,365.8,25.01K,-8.84%
1990-02-25,406.1,413.0,425.0,405.5,9.95K,-1.53%
1990-01-25,412.4,399.6,422.0,393.0,27.00K,2.46%
1989-12-25,402.5,413.0,418.7,398.6,9.19K,-2.21%
1989-11-25,411.6,374.2,415.5,374.2,33.25K,9.85%
1989-10-25,374.7,366.0,378.0,361.0,2.92K,2.04%
1989-09-25,367.2,359.0,369.2,359.0,4.04K,2.03%
