Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
5/29/90,123,123,121.6,121.7,,121.7,546,1171
5/30/90,120.5,121.5,118.95,118.95,,118.95,422,914
5/31/90,118.5,118.5,116.25,117,,117,583,809
6/1/90,116,116.85,115.75,116.45,,116.45,197,385
6/4/90,115.75,116.2,115.5,116.2,,116.2,26,223
6/5/90,116,117.45,116,116.75,,116.75,52,154
6/6/90,118,118,117.05,117.05,,117.05,2,101
6/7/90,116,116.5,116,116,,116,45,100
6/8/90,117,117,116.65,116.65,,116.65,25,42
6/11/90,116.75,116.75,116.35,116.35,,116.35,2,18
6/12/90,116.25,116.25,116.25,116.25,,116.25,3,6
6/13/90,115,115,114.7,114.7,,114.7,2,5
6/14/90,111.55,111.55,111.55,111.55,,111.55,0,7
6/15/90,112.85,112.85,112.85,112.85,,112.85,0,3
6/18/90,113,113,113,113,,113,0,3
6/19/90,113.5,113.5,113.3,113.3,,113.3,30,37
6/20/90,112.6,112.6,112.6,112.6,,112.6,0,8
6/21/90,112.6,112.6,112.6,112.6,,112.6,0,5
6/22/90,112.4,112.4,112.15,112.15,,112.15,2,4
6/25/90,112.8,112.8,112.8,112.8,,112.8,0,1
6/26/90,111.25,111.25,111.25,111.25,,111.25,19,19
6/27/90,113.4,113.75,113.35,113.75,,113.75,120,3351
6/28/90,113.75,114.5,113.75,114.2,,114.2,118,3356
6/29/90,114.9,119,114.5,117.65,,117.65,508,3451
7/2/90,117.25,118,116,116.65,,116.65,107,3374
7/3/90,117,118.9,116.25,117.9,,117.9,319,3476
7/5/90,117,120.75,116,119,,119,417,3437
7/6/90,118.5,119.25,118.25,118.6,,118.6,161,3473
7/9/90,119,119,117,117.1,,117.1,78,3398
7/10/90,116,117,115,116.8,,116.8,254,3332
7/11/90,116.8,118,116.75,116.95,,116.95,141,3340
7/12/90,115.5,117,115.5,116.75,,116.75,151,3302
7/13/90,117,118,116.75,117.2,,117.2,174,3308
7/16/90,117.5,117.75,117,117.15,,117.15,62,3298
7/17/90,117,117.25,116.6,116.75,,116.75,129,3300
7/18/90,116.25,118,116.25,117.95,,117.95,109,3281
7/19/90,117.25,118.5,117.25,117.5,,117.5,175,3357
7/20/90,117.25,118,117.25,117.85,,117.85,50,3191
7/23/90,118.25,119.9,118.25,119.1,,119.1,150,3223
7/24/90,119.25,119.25,117.25,117.5,,117.5,278,3124
7/25/90,117.75,118.25,117.5,117.5,,117.5,98,3141
7/26/90,117.5,117.5,116.5,116.7,,116.7,145,3135
7/27/90,116.7,117.25,116,116.1,,116.1,133,3092
7/30/90,115.75,116.75,115.25,115.25,,115.25,130,3142
7/31/90,116,116.5,115.1,115.25,,115.25,212,3067
8/1/90,115.5,115.75,114.5,115,,115,391,2982
8/2/90,116,117,113.5,114.75,,114.75,418,2841
8/3/90,114.5,114.75,112.5,113.25,,113.25,408,2862
8/6/90,113.25,113.9,113.25,113.5,,113.5,215,2658
8/7/90,113.5,115,113.5,114,,114,168,2597
8/8/90,114,114.3,113.25,114.3,,114.3,83,2613
8/9/90,114.75,115,114.5,114.85,,114.85,290,2402
8/10/90,115.25,116.75,115,115.5,,115.5,411,2108
8/14/90,117,118.75,116.6,116.7,,116.7,262,2168
8/15/90,116.5,116.75,115.5,115.5,,115.5,230,2025
8/16/90,115.5,116.5,115.25,116.15,,116.15,85,2109
8/17/90,116.75,118.25,116.75,117.15,,117.15,189,1989
8/20/90,117.75,118,116,116.05,,116.05,141,1899
8/21/90,117,117.5,116.25,116.5,,116.5,146,1886
8/22/90,116.75,117,115.95,115.95,,115.95,250,1700
8/23/90,116.3,116.5,115.5,115.6,,115.6,118,1709
8/24/90,114.75,115.25,113.5,114.25,,114.25,94,1546
8/27/90,112,113,109.5,110.4,,110.4,281,1519
8/28/90,109,110,109,109.3,,109.3,341,1300
8/29/90,110.5,110.5,109,109.4,,109.4,499,985
8/30/90,109,110,108.75,109,,109,317,703
